hours_per_week_bin,occupation_bin,msr_bin,capital_gl_bin,race_sex_bin,education_num_bin,education_bin,workclass_bin,age_bin,flag,y
a. 0-30,b. Mid - Low,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,e. 40-55,train,0
a. 0-30,c. Mid - Mid,b. Mid,a. = 0,b. Mid,c. 13,c. Bachelors,b. income,c. 31-35 & 61-70,train,0
d. 41-50 & 61-70,e. High,b. Mid,a. = 0,b. Mid,d. 14,d. Masters,b. income,e. 40-55,train,1
b. 31-40,d. Mid - High,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
d. 41-50 & 61-70,e. High,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,d. 36-40 & 56-60,train,1
b. 31-40,b. Mid - Low,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,a. 0-25,train,0
a. 0-30,b. Mid - Low,b. Mid,a. = 0,b. Mid,a. 0-8,a. Low,a. no income,e. 40-55,train,0
d. 41-50 & 61-70,b. Mid - Low,a. Low,a. = 0,c. High,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
b. 31-40,c. Mid - Mid,b. Mid,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,b. Mid - Low,b. Mid,c. > 0,b. Mid,d. 14,d. Masters,a. no income,e. 40-55,train,1
a. 0-30,c. Mid - Mid,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
b. 31-40,b. Mid - Low,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,a. no income,a. 0-25,train,0
d. 41-50 & 61-70,c. Mid - Mid,b. Mid,a. = 0,c. High,a. 0-8,a. Low,b. income,a. 0-25,train,0
a. 0-30,e. High,b. Mid,a. = 0,b. Mid,c. 13,c. Bachelors,b. income,b. 26-30 & 71-100,train,0
d. 41-50 & 61-70,b. Mid - Low,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,a. 0-25,train,0
b. 31-40,c. Mid - Mid,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
b. 31-40,c. Mid - Mid,b. Mid,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,1
b. 31-40,c. Mid - Mid,a. Low,a. = 0,c. High,a. 0-8,a. Low,b. income,c. 31-35 & 61-70,train,0
a. 0-30,a. Low,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,a. 0-25,train,0
b. 31-40,b. Mid - Low,b. Mid,a. = 0,c. High,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
b. 31-40,a. Low,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
b. 31-40,a. Low,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,b. Mid - Low,b. Mid,a. = 0,a. Low,b. 9-12,b. Mid,b. income,d. 36-40 & 56-60,train,0
a. 0-30,c. Mid - Mid,c. High,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,c. Mid - Mid,c. High,c. > 0,c. High,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
b. 31-40,e. High,b. Mid,a. = 0,c. High,b. 9-12,b. Mid,b. income,d. 36-40 & 56-60,train,0
d. 41-50 & 61-70,e. High,c. High,a. = 0,c. High,a. 0-8,a. Low,b. income,e. 40-55,train,1
e. 51-60,e. High,b. Mid,a. = 0,b. Mid,c. 13,c. Bachelors,b. income,b. 26-30 & 71-100,train,0
a. 0-30,e. High,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
b. 31-40,e. High,b. Mid,a. = 0,c. High,c. 13,c. Bachelors,b. income,b. 26-30 & 71-100,train,0
a. 0-30,e. High,c. High,c. > 0,c. High,e. 15+,e. High,b. income,b. 26-30 & 71-100,train,0
b. 31-40,c. Mid - Mid,a. Low,a. = 0,b. Mid,d. 14,d. Masters,b. income,b. 26-30 & 71-100,train,0
d. 41-50 & 61-70,e. High,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,1
d. 41-50 & 61-70,c. Mid - Mid,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,a. 0-25,train,0
a. 0-30,b. Mid - Low,b. Mid,a. = 0,c. High,a. 0-8,a. Low,a. no income,a. 0-25,train,0
b. 31-40,e. High,b. Mid,a. = 0,c. High,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
b. 31-40,c. Mid - Mid,a. Low,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,c. Mid - Mid,b. Mid,a. = 0,c. High,a. 0-8,a. Low,b. income,a. 0-25,train,0
b. 31-40,c. Mid - Mid,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,c. Mid - Mid,b. Mid,b. < 0,b. Mid,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
d. 41-50 & 61-70,e. High,c. High,a. = 0,b. Mid,c. 13,c. Bachelors,b. income,d. 36-40 & 56-60,train,1
b. 31-40,a. Low,a. Low,a. = 0,c. High,b. 9-12,b. Mid,b. income,a. 0-25,train,0
b. 31-40,a. Low,b. Mid,a. = 0,a. Low,a. 0-8,a. Low,b. income,e. 40-55,train,0
a. 0-30,c. Mid - Mid,c. High,a. = 0,c. High,c. 13,c. Bachelors,b. income,c. 31-35 & 61-70,train,0
d. 41-50 & 61-70,b. Mid - Low,a. Low,a. = 0,c. High,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
b. 31-40,d. Mid - High,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,c. Mid - Mid,b. Mid,a. = 0,c. High,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
b. 31-40,b. Mid - Low,b. Mid,a. = 0,a. Low,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,a. Low,b. Mid,a. = 0,c. High,c. 13,c. Bachelors,b. income,e. 40-55,train,0
d. 41-50 & 61-70,d. Mid - High,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,1
b. 31-40,b. Mid - Low,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,a. 0-25,train,0
c. 71-100,c. Mid - Mid,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,1
d. 41-50 & 61-70,c. Mid - Mid,c. High,c. > 0,c. High,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,1
d. 41-50 & 61-70,a. Low,b. Mid,a. = 0,c. High,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
d. 41-50 & 61-70,c. Mid - Mid,b. Mid,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,0
a. 0-30,a. Low,b. Mid,a. = 0,c. High,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
b. 31-40,b. Mid - Low,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,a. 0-25,train,0
b. 31-40,b. Mid - Low,c. High,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,d. 36-40 & 56-60,train,0
b. 31-40,e. High,c. High,a. = 0,c. High,c. 13,c. Bachelors,b. income,e. 40-55,train,1
e. 51-60,e. High,c. High,c. > 0,c. High,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,1
d. 41-50 & 61-70,e. High,c. High,c. > 0,c. High,c. 13,c. Bachelors,b. income,c. 31-35 & 61-70,train,1
b. 31-40,c. Mid - Mid,c. High,b. < 0,c. High,c. 13,c. Bachelors,b. income,e. 40-55,train,1
d. 41-50 & 61-70,c. Mid - Mid,b. Mid,a. = 0,c. High,b. 9-12,b. Mid,b. income,d. 36-40 & 56-60,train,0
a. 0-30,a. Low,a. Low,a. = 0,c. High,b. 9-12,b. Mid,b. income,a. 0-25,train,0
b. 31-40,b. Mid - Low,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,e. 40-55,train,0
d. 41-50 & 61-70,e. High,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,1
b. 31-40,b. Mid - Low,a. Low,a. = 0,c. High,b. 9-12,b. Mid,a. no income,a. 0-25,train,0
a. 0-30,a. Low,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
b. 31-40,e. High,b. Mid,a. = 0,b. Mid,c. 13,c. Bachelors,b. income,b. 26-30 & 71-100,train,0
b. 31-40,a. Low,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,0
d. 41-50 & 61-70,c. Mid - Mid,b. Mid,a. = 0,b. Mid,c. 13,c. Bachelors,b. income,a. 0-25,train,0
a. 0-30,c. Mid - Mid,a. Low,a. = 0,c. High,b. 9-12,b. Mid,b. income,a. 0-25,train,0
e. 51-60,b. Mid - Low,a. Low,a. = 0,c. High,c. 13,c. Bachelors,b. income,d. 36-40 & 56-60,train,0
b. 31-40,e. High,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,a. Low,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
a. 0-30,a. Low,b. Mid,a. = 0,b. Mid,a. 0-8,a. Low,b. income,c. 31-35 & 61-70,train,0
b. 31-40,c. Mid - Mid,c. High,a. = 0,a. Low,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
a. 0-30,a. Low,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
b. 31-40,b. Mid - Low,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,b. Mid - Low,c. High,b. < 0,c. High,b. 9-12,b. Mid,b. income,d. 36-40 & 56-60,train,1
b. 31-40,b. Mid - Low,a. Low,a. = 0,a. Low,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
b. 31-40,b. Mid - Low,c. High,a. = 0,b. Mid,c. 13,c. Bachelors,b. income,e. 40-55,train,0
a. 0-30,b. Mid - Low,b. Mid,c. > 0,b. Mid,a. 0-8,a. Low,a. no income,c. 31-35 & 61-70,train,0
d. 41-50 & 61-70,c. Mid - Mid,b. Mid,a. = 0,c. High,b. 9-12,b. Mid,b. income,a. 0-25,train,0
b. 31-40,c. Mid - Mid,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,b. Mid - Low,c. High,a. = 0,c. High,a. 0-8,a. Low,b. income,c. 31-35 & 61-70,train,0
b. 31-40,e. High,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,e. High,b. Mid,a. = 0,c. High,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
c. 71-100,e. High,b. Mid,a. = 0,b. Mid,e. 15+,e. High,b. income,b. 26-30 & 71-100,train,0
b. 31-40,c. Mid - Mid,c. High,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,a. Low,a. Low,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,e. High,c. High,a. = 0,c. High,d. 14,d. Masters,b. income,c. 31-35 & 61-70,train,1
b. 31-40,a. Low,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,a. 0-25,train,0
b. 31-40,b. Mid - Low,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,a. no income,a. 0-25,train,0
a. 0-30,c. Mid - Mid,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,a. 0-25,train,0
a. 0-30,b. Mid - Low,a. Low,a. = 0,c. High,b. 9-12,b. Mid,b. income,a. 0-25,train,0
b. 31-40,a. Low,c. High,a. = 0,c. High,a. 0-8,a. Low,b. income,e. 40-55,train,0
b. 31-40,c. Mid - Mid,c. High,a. = 0,c. High,a. 0-8,a. Low,b. income,d. 36-40 & 56-60,train,0
e. 51-60,c. Mid - Mid,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,1
d. 41-50 & 61-70,b. Mid - Low,a. Low,b. < 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,d. Mid - High,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,1
b. 31-40,b. Mid - Low,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,0
c. 71-100,b. Mid - Low,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
a. 0-30,b. Mid - Low,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,a. no income,d. 36-40 & 56-60,train,0
a. 0-30,d. Mid - High,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,a. 0-25,train,0
b. 31-40,c. Mid - Mid,c. High,a. = 0,c. High,d. 14,d. Masters,b. income,c. 31-35 & 61-70,train,1
c. 71-100,e. High,c. High,a. = 0,c. High,e. 15+,e. High,b. income,c. 31-35 & 61-70,train,1
a. 0-30,c. Mid - Mid,a. Low,a. = 0,c. High,b. 9-12,b. Mid,b. income,a. 0-25,train,0
b. 31-40,e. High,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,b. Mid - Low,c. High,a. = 0,c. High,b. 9-12,b. Mid,a. no income,d. 36-40 & 56-60,train,0
b. 31-40,c. Mid - Mid,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
b. 31-40,b. Mid - Low,a. Low,a. = 0,b. Mid,c. 13,c. Bachelors,b. income,d. 36-40 & 56-60,train,0
b. 31-40,b. Mid - Low,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
b. 31-40,e. High,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,c. Mid - Mid,a. Low,a. = 0,c. High,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
b. 31-40,b. Mid - Low,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
d. 41-50 & 61-70,e. High,b. Mid,c. > 0,c. High,c. 13,c. Bachelors,b. income,c. 31-35 & 61-70,train,1
d. 41-50 & 61-70,c. Mid - Mid,b. Mid,a. = 0,c. High,b. 9-12,b. Mid,b. income,a. 0-25,train,0
b. 31-40,e. High,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,d. 36-40 & 56-60,train,0
b. 31-40,c. Mid - Mid,b. Mid,a. = 0,c. High,c. 13,c. Bachelors,b. income,a. 0-25,train,0
e. 51-60,c. Mid - Mid,c. High,a. = 0,c. High,a. 0-8,a. Low,b. income,c. 31-35 & 61-70,train,0
d. 41-50 & 61-70,e. High,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,1
a. 0-30,a. Low,a. Low,a. = 0,c. High,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
b. 31-40,e. High,b. Mid,a. = 0,c. High,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,1
b. 31-40,d. Mid - High,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,1
a. 0-30,e. High,c. High,a. = 0,c. High,a. 0-8,a. Low,b. income,c. 31-35 & 61-70,train,0
d. 41-50 & 61-70,e. High,c. High,a. = 0,c. High,e. 15+,e. High,b. income,d. 36-40 & 56-60,train,0
d. 41-50 & 61-70,e. High,b. Mid,a. = 0,c. High,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
b. 31-40,c. Mid - Mid,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,e. High,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,0
a. 0-30,a. Low,a. Low,a. = 0,a. Low,b. 9-12,b. Mid,b. income,a. 0-25,train,0
c. 71-100,b. Mid - Low,a. Low,a. = 0,c. High,c. 13,c. Bachelors,a. no income,c. 31-35 & 61-70,train,0
b. 31-40,e. High,c. High,c. > 0,c. High,e. 15+,e. High,b. income,c. 31-35 & 61-70,train,1
b. 31-40,e. High,c. High,a. = 0,c. High,c. 13,c. Bachelors,b. income,e. 40-55,train,1
b. 31-40,b. Mid - Low,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
e. 51-60,c. Mid - Mid,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,d. 36-40 & 56-60,train,1
a. 0-30,c. Mid - Mid,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,a. 0-25,train,0
d. 41-50 & 61-70,e. High,c. High,c. > 0,c. High,d. 14,d. Masters,b. income,c. 31-35 & 61-70,train,1
e. 51-60,c. Mid - Mid,c. High,c. > 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,1
b. 31-40,e. High,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,d. 36-40 & 56-60,train,0
b. 31-40,b. Mid - Low,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,e. High,a. Low,a. = 0,a. Low,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
c. 71-100,a. Low,b. Mid,a. = 0,a. Low,b. 9-12,b. Mid,b. income,d. 36-40 & 56-60,train,0
d. 41-50 & 61-70,e. High,c. High,c. > 0,c. High,d. 14,d. Masters,b. income,e. 40-55,train,1
b. 31-40,a. Low,a. Low,a. = 0,c. High,b. 9-12,b. Mid,b. income,a. 0-25,train,0
b. 31-40,b. Mid - Low,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,1
d. 41-50 & 61-70,c. Mid - Mid,b. Mid,a. = 0,c. High,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
a. 0-30,e. High,c. High,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
e. 51-60,e. High,c. High,c. > 0,c. High,e. 15+,e. High,b. income,e. 40-55,train,1
d. 41-50 & 61-70,c. Mid - Mid,c. High,a. = 0,c. High,a. 0-8,a. Low,b. income,d. 36-40 & 56-60,train,0
b. 31-40,e. High,b. Mid,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,c. Mid - Mid,a. Low,a. = 0,c. High,b. 9-12,b. Mid,b. income,a. 0-25,train,0
b. 31-40,b. Mid - Low,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,d. 36-40 & 56-60,train,0
b. 31-40,e. High,b. Mid,c. > 0,b. Mid,c. 13,c. Bachelors,b. income,a. 0-25,train,1
b. 31-40,e. High,a. Low,a. = 0,c. High,b. 9-12,b. Mid,b. income,a. 0-25,train,0
b. 31-40,a. Low,c. High,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,a. 0-25,train,0
b. 31-40,c. Mid - Mid,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,a. 0-25,train,0
b. 31-40,c. Mid - Mid,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,0
d. 41-50 & 61-70,e. High,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
b. 31-40,c. Mid - Mid,c. High,a. = 0,c. High,c. 13,c. Bachelors,b. income,c. 31-35 & 61-70,train,1
d. 41-50 & 61-70,c. Mid - Mid,c. High,a. = 0,c. High,d. 14,d. Masters,b. income,e. 40-55,train,1
b. 31-40,b. Mid - Low,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
b. 31-40,e. High,c. High,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,1
b. 31-40,b. Mid - Low,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,a. no income,a. 0-25,train,0
b. 31-40,b. Mid - Low,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
b. 31-40,c. Mid - Mid,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
a. 0-30,e. High,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,a. 0-25,train,0
b. 31-40,b. Mid - Low,a. Low,a. = 0,c. High,a. 0-8,a. Low,b. income,c. 31-35 & 61-70,train,0
d. 41-50 & 61-70,e. High,c. High,b. < 0,c. High,c. 13,c. Bachelors,b. income,c. 31-35 & 61-70,train,1
d. 41-50 & 61-70,c. Mid - Mid,b. Mid,a. = 0,c. High,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
b. 31-40,e. High,c. High,b. < 0,c. High,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
a. 0-30,e. High,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,b. Mid - Low,c. High,a. = 0,b. Mid,a. 0-8,a. Low,b. income,e. 40-55,train,1
a. 0-30,c. Mid - Mid,a. Low,a. = 0,c. High,a. 0-8,a. Low,b. income,a. 0-25,train,0
d. 41-50 & 61-70,e. High,c. High,b. < 0,c. High,c. 13,c. Bachelors,b. income,c. 31-35 & 61-70,train,1
b. 31-40,e. High,b. Mid,a. = 0,b. Mid,c. 13,c. Bachelors,b. income,e. 40-55,train,1
b. 31-40,b. Mid - Low,b. Mid,a. = 0,a. Low,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,c. Mid - Mid,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,a. 0-25,train,0
d. 41-50 & 61-70,b. Mid - Low,c. High,c. > 0,c. High,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
a. 0-30,c. Mid - Mid,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
b. 31-40,c. Mid - Mid,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,b. Mid - Low,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,e. 40-55,train,0
e. 51-60,c. Mid - Mid,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
b. 31-40,c. Mid - Mid,c. High,c. > 0,c. High,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,1
a. 0-30,e. High,c. High,a. = 0,b. Mid,c. 13,c. Bachelors,b. income,e. 40-55,train,1
b. 31-40,c. Mid - Mid,a. Low,a. = 0,c. High,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
a. 0-30,a. Low,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
d. 41-50 & 61-70,b. Mid - Low,a. Low,a. = 0,c. High,b. 9-12,b. Mid,a. no income,a. 0-25,train,0
d. 41-50 & 61-70,e. High,b. Mid,a. = 0,c. High,b. 9-12,b. Mid,b. income,d. 36-40 & 56-60,train,0
b. 31-40,a. Low,a. Low,a. = 0,c. High,a. 0-8,a. Low,b. income,b. 26-30 & 71-100,train,0
a. 0-30,c. Mid - Mid,b. Mid,a. = 0,b. Mid,a. 0-8,a. Low,b. income,a. 0-25,train,0
d. 41-50 & 61-70,e. High,b. Mid,a. = 0,b. Mid,c. 13,c. Bachelors,b. income,e. 40-55,train,0
b. 31-40,c. Mid - Mid,a. Low,b. < 0,c. High,b. 9-12,b. Mid,b. income,a. 0-25,train,0
b. 31-40,e. High,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,a. 0-25,train,0
a. 0-30,a. Low,b. Mid,a. = 0,b. Mid,a. 0-8,a. Low,b. income,a. 0-25,train,0
b. 31-40,e. High,c. High,c. > 0,b. Mid,b. 9-12,b. Mid,b. income,e. 40-55,train,1
b. 31-40,c. Mid - Mid,a. Low,a. = 0,b. Mid,c. 13,c. Bachelors,b. income,a. 0-25,train,0
d. 41-50 & 61-70,c. Mid - Mid,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
b. 31-40,c. Mid - Mid,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,1
b. 31-40,e. High,c. High,a. = 0,c. High,c. 13,c. Bachelors,b. income,e. 40-55,train,1
a. 0-30,b. Mid - Low,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,a. 0-25,train,0
d. 41-50 & 61-70,c. Mid - Mid,c. High,c. > 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,1
b. 31-40,b. Mid - Low,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,0
a. 0-30,b. Mid - Low,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,a. no income,a. 0-25,train,0
a. 0-30,c. Mid - Mid,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,d. 36-40 & 56-60,train,0
d. 41-50 & 61-70,e. High,c. High,a. = 0,c. High,d. 14,d. Masters,b. income,e. 40-55,train,1
a. 0-30,a. Low,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,a. 0-25,train,0
b. 31-40,b. Mid - Low,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,a. no income,a. 0-25,train,0
b. 31-40,b. Mid - Low,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,c. Mid - Mid,b. Mid,a. = 0,c. High,a. 0-8,a. Low,b. income,d. 36-40 & 56-60,train,0
a. 0-30,b. Mid - Low,a. Low,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,a. 0-25,train,0
d. 41-50 & 61-70,b. Mid - Low,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,d. 36-40 & 56-60,train,1
b. 31-40,e. High,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,e. 40-55,train,0
d. 41-50 & 61-70,a. Low,a. Low,a. = 0,c. High,c. 13,c. Bachelors,b. income,c. 31-35 & 61-70,train,0
b. 31-40,b. Mid - Low,a. Low,a. = 0,b. Mid,a. 0-8,a. Low,b. income,e. 40-55,train,0
b. 31-40,e. High,c. High,c. > 0,c. High,b. 9-12,b. Mid,b. income,e. 40-55,train,1
b. 31-40,b. Mid - Low,b. Mid,a. = 0,a. Low,b. 9-12,b. Mid,a. no income,d. 36-40 & 56-60,train,0
b. 31-40,c. Mid - Mid,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
d. 41-50 & 61-70,c. Mid - Mid,b. Mid,b. < 0,b. Mid,b. 9-12,b. Mid,b. income,e. 40-55,train,0
b. 31-40,c. Mid - Mid,c. High,a. = 0,c. High,c. 13,c. Bachelors,b. income,b. 26-30 & 71-100,train,0
d. 41-50 & 61-70,c. Mid - Mid,c. High,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
b. 31-40,a. Low,b. Mid,a. = 0,b. Mid,b. 9-12,b. Mid,b. income,b. 26-30 & 71-100,train,0
b. 31-40,b. Mid - Low,c. High,a. = 0,c. High,c. 13,c. Bachelors,b. income,d. 36-40 & 56-60,train,0
a. 0-30,a. Low,c. High,a. = 0,c. High,b. 9-12,b. Mid,b. income,c. 31-35 & 61-70,train,0
